,molecule_chembl_id,IC50,units,smiles,pIC50
132,CHEMBL5220731,250.0,nM,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](NC(=O)CCCCCCCCCCNC(=O)OC2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC=O)[C@H]32)C(C)(C)C)cc1,6.6020599913279625
133,CHEMBL1165024,260.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.585026652029182
134,CHEMBL1163149,270.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.568636235841012
135,CHEMBL169046,300.0,nM,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6.522878745280337
136,CHEMBL156695,370.0,nM,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1,6.431798275933005
137,CHEMBL1163723,410.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.3872161432802645
138,CHEMBL489540,500.0,nM,CCCCCCCCC#CC#C/C=C/CCCC(=O)O,6.301029995663981
139,CHEMBL1165099,750.0,nM,NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)NCC(=O)O,6.1249387366083
140,CHEMBL133434,1000.0,nM,CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C,6.0
141,CHEMBL276717,1290.0,nM,Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],5.889410289700751
142,CHEMBL5218794,1300.0,nM,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](NC(=O)CCCCCCCCCCNC(=O)OC2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O)CC(=O)O4)[C@H]32)C(C)(C)C)cc1,5.886056647693163
143,CHEMBL690,1370.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],5.863279432843593
144,CHEMBL1165259,1470.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.8326826652518236
145,CHEMBL504781,1500.0,nM,CCCCCCCCC#CC#C/C=C\CCCC(=O)O,5.823908740944319
146,CHEMBL133834,1500.0,nM,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C,5.823908740944319
147,CHEMBL261622,1520.0,nM,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)O,5.818156412055227
148,CHEMBL11891,1720.0,nM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+],5.764471553092451
149,CHEMBL261621,1780.0,nM,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)NCC(=O)O,5.7495799976911055
150,CHEMBL2111271,2000.0,nM,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,5.698970004336019
151,CHEMBL482803,2000.0,nM,CCCCCCCCC#C/C=C/CCCCCC(=O)O,5.698970004336019
152,CHEMBL1163145,2560.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.59176003468815
153,CHEMBL482601,3000.0,nM,CCCCCCCCC#C/C=C\CCCCCC(=O)O,5.522878745280337
154,CHEMBL11804,3000.0,nM,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],5.522878745280337
155,CHEMBL501307,3000.0,nM,CCCCC#CC#CCCCCCC(=O)O,5.522878745280337
156,CHEMBL506247,3127.0,nM,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,5.504872118757067
157,CHEMBL1729,3370.0,nM,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,5.4723700991286615
158,CHEMBL258583,3840.0,nM,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(F)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.415668775632469
159,CHEMBL50444,4000.0,nM,CC(O)(CC(=O)O)CC(=O)O,5.3979400086720375
160,CHEMBL1163691,4790.0,nM,CCCc1cc(OC)c(OC)cc1O,5.319664486585436
161,CHEMBL1164546,4820.0,nM,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(F)cc1)NC(=O)CN)C(=O)NCC(=O)NCC(=O)O,5.31695296176115
162,CHEMBL3344536,4940.0,nM,CCC(=O)c1cc(OC)c(OC)cc1O,5.306273051076353
163,CHEMBL485858,5000.0,nM,CCCCCCCCC#CC#CCCCCCC(=O)O,5.301029995663981
164,CHEMBL482804,5000.0,nM,CCCCCCCCC#CCCCCCCCC(=O)O,5.301029995663981
165,CHEMBL2111238,5000.0,nM,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1,5.301029995663981
166,CHEMBL483819,5000.0,nM,CCCCCCCCC#CC#CC1OC1CCCC(=O)O,5.301029995663981
167,CHEMBL594813,5610.0,nM,COc1cccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3ccc(F)cc23)c1,5.251037138743839
168,CHEMBL2347008,5700.0,nM,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)NO,5.2441251443275085
169,CHEMBL333306,5860.0,nM,C/C=C/c1cc(OC)c(OC)cc1OC,5.232102383981909
170,CHEMBL1163189,6110.0,nM,CCCc1cc(OC)c(OCC(=O)OC)cc1O,5.213958789757446
171,CHEMBL3344540,6430.0,nM,CCCC(=O)c1cc(OC)c(OCC(=O)OC)cc1O,5.191789027075778
172,CHEMBL606813,6930.0,nM,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccc(F)cc3c2Sc2ccc(F)cc2)O1,5.159266765388193
173,CHEMBL1164157,6950.0,nM,NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)O,5.158015195409886
174,CHEMBL448462,7000.0,nM,CCCCCCCCC#CC#CC(O)CCCCC(=O)O,5.154901959985743
175,CHEMBL608986,7100.0,nM,COc1cccc(Sc2cc3nc(C4CC4)c(/C=C/[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2F)c1,5.1487416512809245
176,CHEMBL2347007,7900.0,nM,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,5.102372908709558
177,CHEMBL2393053,8400.0,nM,CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(C)=CC(=O)[C@H]4/C(C=O)=C\C[C@H]32)O1,5.075720713938118
178,CHEMBL1163146,8520.0,nM,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.0695604052333
179,CHEMBL1237061,8900.0,nM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],5.050609993355087
